start	end	text
0	6720	Jógica Rascal é jogador do Flamengo, do falando de um meio campista de 27 anos com pleto já
6720	13120	esse ano que chega vindo do Futebol Rousse pra reforçar o time do técnico Felipe Luiz.
13120	19240	E traz para o time macaracterística que todo mundo já deve ter sido informado que é a característica
19240	20240	do drible.
20240	25400	Mas ele vai além disso, tanto em fortalezas quanto em eventuais fraquezas e tudo isso,
25400	36680	eu vou te explicar nesse vídeo, falando sobre tática, sem tatequês!
36680	42000	Eu poderia começar esse vídeo falando que é um jogador moderno, mas está ficando meio
42000	48160	desatualizado até porque o que é moderno hoje em dia, em tempo de interligência artificial.
48160	53140	Sinceramente não sei responder essa pergunta, o que eu posso fazer é te indicar a melhor
53140	59340	interligência artificial do mundo, e se eu te falar que esses caras são brasileiros, eu estou falando
59340	65180	da TES, a TES foi fundada pelo empresário brasileiro, recabarros, a roba, recabarros, segue
65180	67900	ele aí pra você conhecer esse cari inspirador.
67900	71820	E é um conhecido a gente de IA, o que isso quer dizer?
71820	78700	Eles têm ali o código de mais de 200 e a dentro de uma só plataforma, e essa plataforma
78700	84420	tem o preço digamos assim, metade do preço do chatGPT sozinho, sendo que o chatGPT está
84420	86420	dentro da TES.
86420	92140	Ou seja, não tem nem muito o que pensar, você tem a melhoria do mercado e essa melhoria
92140	97860	do mercado consolidada, usar peias de outras 200 reais, então você pode pedir, por exemplo,
97860	102700	chatGPT executar uma tarefa, depois você pode pedir para o Google Geminar e dar uma
102700	108140	revisada, pode pedir por dipsique, emitir um relatório, ou tentar um plano de ação,
108140	113540	você consegue fazer muita coisa, vai além do infinito, isso que vai te ajudar, não
113540	118700	é executar o teu trabalho, mas sim, é executar as tarefas repetitivas que não agregam
118700	123540	valor, é o que você entrega, eu por exemplo, faço roteiros dos meus vídeos utilizando,
123540	128980	e a coloca o título também, muito pautado com apoio, daí há coisas que eu demorava
128980	135180	a cerca de 20% mais, eu deixo de fazer, ou seja, meus vídeos estou demorando 20%
135180	141420	a menos essa recuperação de tempo de vida, e você consegue, não mexe muito bem, pois
141420	146060	os caras resolvem isso para você, eles criaram um acesso gratuito para universidades
146060	151900	daí, para todo mundo que compraria esse torna cliente deles, ele já tem mais de 2 milhões
151900	158060	de cliente no mundo, e todo mundo que se torna a cliente deles, agora vai ter acesso gratuito
158060	164140	no alo, deixe o curso que custa quase 4 mil reais para você, nos mínimos detalhes,
164140	170020	aprender a mexer em em geral, e especialmente aprender a mexer na testa, clica no link
170020	175620	na descrição do vídeo, ou mira no que o arco de que aparece enquanto eu falo, e aproveite
175620	181680	essa mega promoção, saindo só 44 reais por mês, menos da metade do valor do chatia
182000	188560	você acina a testa, e chegou a hora de a gente ir, entender um pouco mais esse jogador, vamos
188560	195040	primeiro mostrar o posicionamento dele, depois a gente vai para o campo, trata-se de um criador,
195040	203760	um construtor, um criador que executa muito bem dribles, e joga nas 4 posições do ataque, claro
203760	210320	que a qualidade em que a desempenha cada posição, vai variar, vai aumentar diminuir eventualmente,
210320	217200	é um 10 de formação que foi aos poucos jogando pelo lado, pelos dois lados, e nessa última temporada
217200	222320	tem atuado como a atacante, como primeiro a tacante, ali é um falso nove, e eventualmente
222320	229040	indo para o ataque, muito parecido com a função que executa o arrascaeta por entregando a sua
229040	236080	leitura particular dessa função, e ele tem uma boa estatura, tem cerca de um metro 80, então
236080	240880	um sete nove para algumas fontes para outras um metro 80, mas bora para o campo sem entender
240880	245520	100% como esse cara joga, como eu falei para vocês, ele é um jogador de corredor central,
245520	251760	e é muito raro, a gente veja o jogador de corredor central capaz de conduzir a bola no espaço tão
251760	257680	congestionado, nota como ele recebe essa bola e esse camisa 8, e recebe essa bola no meio de 4
257680	263680	marcadores adversários, e ele vai colocando no espaço, conduzindo ela muito próximo ao pé,
263680	271120	e gerando ali um sete venda vál, na defesa adversária, tá esse estilo de jogo dele lembra muito do
271120	276880	nem mar, e não atoa quando ele surgiu, ele surgiu como tal, nem mar colombiano, tá?
276880	283680	ele é um cara que ali é esse estilo, há uma capacidade de flutuar pelo campo, tá?
283680	290240	e ele eventualmente consegue gerar contextos melhores por seus parceiros a partir disso, então
290240	297680	ele é um jogador que não é um passar brunato, e sim, um condutor nato, e cria a partir da condução,
297680	304320	e não cria a partir do passe, essa não é a linha dele de jogo, então é um jogador que
304320	310560	sabe receber os contatos, então ele não é tão frágil aos contatos, então de sustenta,
310560	316320	a pressão de jogar de costas muitas e muitas vezes, como um tipo jogador sul americano, digamos assim,
316320	322800	e abre caminhos a partir dessa capacidade de sustentar pressão, e dá capacidade de conduzir,
322800	327920	e espaço congestionado, e eventualmente pode jogar por um dos lados, tá? E eventualmente não,
327920	333600	eu gosto bastante dele jogando pelo lado esquerdo, e conduz ali pra abrir espaço,
333600	339440	ele não é? Digamos assim, um cara que vai dar o passe tão vertical, até porque quando
339440	345200	ele sai pra entrar no próprio contexto de conduzir, ele acaba se afastando um pouco da área
345200	350160	adversária, tá? Aqui, ele vai gerar aqui um lance de drible, ele vai gerar um contexto de
350160	355280	muito tempo espaço pra lateral, que o trapaça no setor dele, aqui ele recebe de costas,
355280	361200	muito pressionado, e vai sair da pressão, valevando pra zona menos congestionada, e vai
361200	367280	passar no meio de dois, vai invadir a área, e infelizmente ele acabou tropeçando na hora de finalizar
367280	373360	jogada, não ficou analisando realite de jogador, tá? Gente, eu vejo 6 jogos em termos do jogador
373360	378480	pra poder trazer ele pra vocês aqui, aqui ele está conduzindo por dentro, como o meio vai
378480	386000	pedalar, e acaba perdendo a bola, isso é de certa forma comum de um jogador que tenta muito
386000	391440	os dribles, o aproveitamento dele é altíssimo, tá? Pra você ter uma ideia, o arrascaita faz,
391440	398080	por exemplo, 10, por exemplo, não exatamente 10, vírgula 13, doelos ofensivos por jogo, tem um
398080	402240	bom aproveitamento embora não seja um driblador, ele entra nos doelos também no fós dos
402240	411280	doelos, tem o aproveitamento de 51%. O carrascaita é o aproveitamento maior, 53%, e ele tem 50% mais doelos,
411280	417280	então ele é um doelador e dentro desses doelos estão os dribles, tá? Então, por exemplo, nos dribles,
417280	424160	enquanto o évertor Ribeiro, por exemplo, que era um cara de driblador ali, mago, né, tinha 62% de
424160	429360	aproveitamento dos dribles, e fazia 3 dribles e meio por jogo, o carrascau faz um driblio
429360	435680	diferente de mais força, é de mais aceleração, e faz 68% de aproveitamento, bem mais altos,
435680	441920	aproveitamento autíssimo, e 8 dribles por jogo, ou seja, mais do que o dobro dos dribles, tá? Comparado,
441920	448080	por exemplo, com Michelel, o Michelel faz 5 dribles por jogo, cada 90 minutos, e ele faz 8, e tem
448080	453360	um aproveitamento 11% ali, 11 pontos percentuais a cima do Michelel, que acaba sendo
453360	460000	aproveitamento de mais 25% maior do que os dribles que o Michelel executa, tá? Então, é um
460000	465200	cara que conduz próximo ao pé, tem força para ganhar doelo, é isso que eu quis mostrar agora,
465200	470240	e acaba tentando também muito, o que faz com que gera muito jogo para o time dele, vai
470240	474480	acertar todas, não vai, ele vai te irritar, como irritou o torcedor do próprio time quando
474480	479840	perdeu essa bola aí, e acabou gerando uma finalização contra, vai irritar, mas vai
479840	484560	também dar alegrias, isso que eu estou querendo te mostrar, e ele não é um pifador,
484560	490400	mas ele tem boa técnica em geral, o que faz com que ele encontre soluções para jogar,
490400	494880	é uma coisa muito característica que eu notei dele nesse jogo, que eu vi, é a capacidade de
494880	500720	encontrar esse passe de letra para quem entrar o tal trapaçando, tá? Isso parece uma marca
500720	506320	da casa ali, uma especialidade da casa, executar esse tipo de passe de letra,
506320	512720	tentando encontrar em projeção alguém que tá ultrapassando, ele também consegue dar esse passe
512720	519280	um pouco mais longo, tentando visar uma verticalidade maior, mas não, essa não é a especialidade
519280	524560	da casa, que ele invade muito ao seu estilo depois de ter feito um drible, e vai encontrar um
524560	530240	passe aqui pro bitelo dentro da área, um passe difícil que ele foi capaz de encontrar, mas não de novo,
530240	535040	essa não é a sua principal marca, inclusive me incomodou um pouco desse passe, ter sido feito
535040	541120	com pedireto titerna, ele não usa tanto quanto eu gostaria, apenas queda para passas, embora
541120	547680	o uso sempre para domínio quando necessário, aqui ele vai pifar e vai conseguir um lindo passe vertical
547680	553200	longo, então ele tem a técnica, tá? Mas muitas vezes a decisão do passe não é a melhor dele,
553200	558960	aqui em projeção durante um contrataque, ele vai estar muito mais também no contexto de passe
558960	566400	mais curto em velocidade, que é o contexto dele, eu vou entrar nesse mérito já já, aquele vai receber a bola,
566400	572640	vai dominar já há poucos toques, ele vai acionar ali o parceiro dele, e quase vai fazer o gol,
572640	578000	inclusive vai perder o gol ali, na frente da marca do pé no tipo bem livre, acaba perdendo gol, mas
578000	583920	mas jogado emquele criou, ele podia ter acertado a gaveta aí, errou a gaveta, mas acho que demonstra
583920	591440	bastante esse caráter de infiltração dele, de passas em progressão, mais passas mais curto, está aqui,
591440	596800	ele recebe a bola, o time tá em transição, e aí ele vai tentar um passe longo na profundidade,
596800	602160	ele ainda não tá pressionado, ali em adepasta bem marcado, se vê que tem quatro os aguesas adversários,
602160	608240	tá muito difícil, mas ele acaba não tendo a maturidade de não forçar esse passe, de tentar conduzir
608240	613680	pra atrair a marcação, ele tem qualidade pra fazer isso, então jogador que ainda pode evoluir,
613680	618240	na mão do Felipe, embora seja assim um ótimo jogador, aqui ele tá meio que na referência,
618240	623440	não tem como ele vai receber essa bola dentro da área, porque ele jogou assim, nessa temporada
623440	627760	especialmente quando bateu até o próprio record de gol, não é o número absoluto alto até
627760	632960	por quê, não tem número absoluto alto de jogos na russa, é desde o início da guerra e do
632960	637600	banhimento dos clubes russos, aqui ele tá de falso nove vai receber de costas, não tem como
637600	643280	ele vai dominar, e vai encontrar um improviso, o passe curto de calcanear na outra passage, esse
643280	649600	passe curto durante a geração dele de jogo, de contato de condução, é a especialidade da casa,
649600	654720	como você vai ver agora, então ele é um ritmista, é um motorzinho que sabe,
654720	661840	dribrar conduzinhos, passo curto e gosta de distribuir o jogo a partir deste contexto, então não é um cara
661840	668400	que vai jogar a poucos toques sem conduzir, ele até joga poucos toques quando tá numa zona congestionada,
668400	674000	como agora que ele tava ali de falso nove, desse e dar o apoio, mas o contexto dele quando
674000	680240	vira diferente, busca contato, como agora, não perder a bola, e aí um grande episodio dele,
680240	685280	e um grande ponto positivo dele, para o que o Felipe entende como futebol, e claro da forma como
