start	end	text
0	3280	Jorge Carrascal é jogador do Flamengo
3280	7580	estou falando de um meio campista de 27 anos completo já nesse ano
7580	13080	que chega vindo do futebol ruso para reforçar o time do técnico Felipe Luís
13080	18020	ele traz para o time uma característica que todo mundo já deve ter sido informado
18020	20020	que é a característica do drible
20020	24560	mas ele vai além disso tanto em fortalezas quanto em eventuais fraquezas
24560	27060	e tudo isso eu vou te explicar nesse vídeo
27060	30320	falando sobre tática, sem tatequês
36820	40580	eu poderia começar esse vídeo falando que é de um jogador moderno
40580	45660	mas está ficando meio desatualizado até porque o que é moderno hoje em dia
45660	48020	em tempo de inteligência artificial
48020	50380	sinceramente não ser responder essa pergunta
50380	55700	o que eu posso fazer é te indicar melhor inteligência artificial do mundo
55700	58700	e se eu te falar que esses caras são brasileiros
58700	62700	eu estou falando da testa, a testa foi fundada para o empresário brasileiro
62700	67700	rica barros, a roba rica barros segue ele aí para você conhecer esse cara inspirador
67700	70260	e é um conhecido a gente de IA
70260	75580	o que isso quer dizer gente, eles têm ali o código de mais de 200 IA
75580	77780	dentro de uma só plataforma
77780	79980	e essa plataforma tem o preço digamos assim
80060	85980	metade do preço do chatgpt sozinho, sendo que o chatgpt está dentro da testa
85980	88700	ou seja, não tem nem muito o que pensar
88700	91260	você tem a melhoriado mercado
91260	96340	e essa melhoriado mercado consolida os API de outras 200 IAs
96340	100260	então você pode pedir por exemplo o chatgpt executar uma tarefa
100260	103540	depois você pode pedir para o Google Geminar e dar uma revisada
103540	106100	pode pedir para o Dipsy que emitir um relatório
106100	107860	ou tentar um plano de ação
107900	111580	você consegue fazer muita coisa, vai além do infinito
111580	115100	isso que vai te ajudar não executar o teu trabalho
115100	119100	mas sim a executar as tarefas repetitivas que não agregam o valor
119100	120420	é o que você entrega
120420	123420	eu, por exemplo, faço roteiros dos meus vídeos utilizando
123420	127660	IA, coloco títulos também muito pautados com apoio da IA
127660	131220	coisas que eu demorava cerca de 20% mais
131220	135140	eu deixo de fazer, ou seja, meus vídeos estou demorando 20%
135140	138860	a menos isso é recuperação de tempo de vida
138860	141100	e você consegue, ah, não mexe muito bem em IA
141100	143100	pois é, os cara resolve isso para você
143100	146780	eles criaram um acesso gratuito para a universidade da IA
146780	150100	para todo mundo que comprar ali se tornar cliente deles
150100	153100	ele já tem mais de 2 milhões de clientes no mundo
153100	156220	e todo mundo que se tornar cliente deles agora
156220	158780	vai ter acesso gratuito anual
158780	162700	deste curso que custa quase 4 mil reais para você
162700	165940	nos mínimos detalhes aprender a mexer IA em geral
165940	169260	e especialmente aprender a mexer na testa
169260	171260	clica no link que está na descrição do vídeo
171260	174060	ou mira no que o Arcode que aparece enquanto eu falo
174060	177100	e aproveite essa mega promoção
177100	179860	saindo só 44 reais por mês
179860	183060	menos da metade do valor do chat repete você assina
183060	184580	a testa, bom?
184580	188180	E chegou a hora da gente ir entender um pouco mais esse jogador
188180	191140	vamos primeiro mostrar o posicionamento dele
191140	192700	e depois a gente vai pro campo
192700	197700	trata-se de um criador, um construtor, um criador
197700	200740	que executa muito bem dribles
200740	203460	e joga nas 4 posições do ataque
203460	206940	claro que a qualidade em que ele desempenha cada posição
206940	210140	vai variar, vai aumentar e diminuir eventualmente
210140	214500	ele é um 10 de formação que foi aos poucos jogando pelo lado
214500	215860	pelos 2 lados
215860	219100	e nessa última temporada tem atuado como o atacante
219100	221460	como o primeiro atacante ali é um falso 9
221460	223500	e eventualmente em dupla de ataque
223500	227900	muito parecido com a função que executa o arrascaeta
227900	232340	porém entregando a sua leitura particular dessa função
232340	234140	e ele tem uma boa estatura
234140	236100	ele tem cerca de 1,80m
236100	239500	então 1,79m para algumas fontes para outras 1,80m
239500	242740	mas bora pro campo sem entender 100% como esse cara joga
242740	245620	como eu falei para vocês, ele é um jogador de corredor central
245620	248700	e é muito raro a gente vê jogador de corredor central
248700	252900	capaz de conduzir a bola num espaço tão conjecionado
252900	255380	nota como ele recebe essa bola, ele é esse camisa 8
255380	259380	aí recebe essa bola no meio de 4 marcadores adversários
259380	261300	e ele vai colocando no espaço
261300	263700	conduzindo ela muito próximo ao pé
263700	268020	e gerando ali um certo venda aval na defesa adversária
268020	271900	esse estilo de jogo, ele lembra muito do Neymar
271900	274940	e não atoa quando ele surgiu, ele surgiu como tal
274940	276900	Neymar colombiano
276940	279500	ele é um cara que ali é esse estilo
279500	283620	há uma capacidade de flutuar pelo campo
283620	287020	e ele eventualmente consegue gerar com textos melhores
287020	289780	para os seus parceiros a partir disso
289780	293300	então ele é um jogador que não é um passadornato
293300	295380	e sim um conduzornato
295380	297700	ele cria a partir da condução
297700	299940	e não cria a partir do passe
299940	302540	essa não é a linha dele de jogo
302540	306180	então é um jogador que sabe receber os contatos
306180	309300	então ele não é tão frágil aos contatos
309300	312180	então ele sustenta a pressão de jogar de costas
312180	313540	muitas e muitas vezes
313540	315500	como um típico jogador sul americano
315500	316420	digamos assim
316420	320860	e abre caminhos a partir dessa capacidade de sustentar a pressão
320860	324500	e da capacidade de conduzir em espaço congestionado
324500	327100	e eventualmente pode jogar por um dos lados
327100	331140	e eventualmente não eu gosto bastante dele jogando pelo lado esquerdo
331140	333620	e conduz ali para abrir espaços
333620	335740	ele não é, digamos assim
335740	338820	um cara que vai dar o passe tão vertical
338820	342380	até porque quando ele sai para entrar no próprio contexto de conduzir
342380	346340	ele acaba se afastando um pouco da área adversária
346340	348940	ele vai gerar um lance de dribble
348940	352180	e vai gerar um contexto de muito tempo e espaço para o lateral
352180	353820	que ultrapassa no setor dele
353820	356500	aquele recebe de costas muito pressionado
356500	358060	e vai sair da pressão
358060	360460	vai levando para a zona menos congestionada
360460	362380	e vai passar no meio de dois
362380	363860	vai invadir a área
363860	365660	e infelizmente ele acabou
365660	367780	tropeando na hora de finalizar a jogada
367780	369740	eu não fico analisando highlight de jogador
369740	373380	a gente eu vejo seis jogos inteiros do jogador
373380	375980	para poder trazer ele para vocês aqui
375980	377460	aquele está conduzindo por dentro
377460	379300	como a meia vai pedalar
379300	381420	e acaba perdendo a bola
381420	383460	isso é de certa forma
383460	386380	comum de um jogador que tenta muitos de dribble
386380	388980	o aproveitamento dele é altíssimo
389180	390380	para você ter uma ideia
390380	392420	a horrascaeta faz por exemplo
392420	393180	10
393180	396260	por exemplo não, exatamente 10,13
396260	397860	duelos ofensivos por jogo
397860	399020	e tem um bom aproveitamento
399020	400500	embora não seja um driblador
400500	402740	ele entra nos duelos também não foge dos duelos
402740	404780	tem aproveitamento de 51%
404780	406940	o carrascal tem aproveitamento maior
406940	408420	53%
408420	411340	e ele tem 50% mais duelos
411340	412740	então ele é um duelador
412740	415340	e dentro desses duelos estão os dribbles
415340	416580	então por exemplo
416620	419060	nos dribbles enquanto o Everton Ribeiro
419060	421860	por exemplo que era um cara driblador
421860	425660	ali mago, tinha 62% de aproveitamento dos dribbles
425660	428020	e fazia três dribbles e meio por jogo
428020	430100	o carrascal faz um dribble diferente
430100	431140	de mais força
431140	432740	é de mais aceleração
432740	435100	e faz 68% de aproveitamento
435100	437060	bem mais alta aproveitamento altíssimo
437060	438700	e 8 dribbles por jogo
438700	441140	ou seja, mais do que o dobro dos dribbles
441140	443300	tá comparado por exemplo com Michael
443300	445260	o Michael faz cinco dribbles por jogo
445260	446380	cada 90 minutos
446380	447740	e ele faz oito
